timestamp,rule_id,details
2025-10-27 16:06:33,forbid_phone,Detected 1 phone(s)
2025-10-27 16:06:41,forbid_phone,Detected 1 phone(s)
2025-10-27 16:06:52,forbid_phone,Detected 1 phone(s)
